Z,T,H,B
20,0.0,0,2655.2355990334327
20,0.0,3,8706.994121580952
20,0.0,5,14324.804553588914
20,22.5,-15,0.002889115957286778
20,22.5,-12,0.01913026652899205
20,22.5,-9,0.3761007557592959
20,22.5,-6,11.605004718268013
20,22.5,-3,270.06950039639855
20,22.5,0,1914.48149069304
20,22.5,3,5924.607049219172
20,22.5,5,9100.426486704706
20,45.0,-15,0.0022632928502456786
20,45.0,-12,0.013008812165977305
20,45.0,-9,0.23744858024425175
20,45.0,-6,6.667923255759895
20,45.0,-3,201.81884660278004
20,45.0,0,1278.613837775023
20,45.0,3,3628.169385098698
20,45.0,5,4879.37158064769
20,90.0,-15,0.001708525122259758
20,90.0,-12,0.04546236729406814
20,90.0,-9,0.10361954355974828
20,90.0,-6,2.2607840530946515
20,90.0,-3,110.32740329312882
20,90.0,0,844.8317108942047
20,90.0,3,1934.1004053012675
20,90.0,5,2294.167782163488
20,135.0,-15,0.0014224157281667233
20,135.0,-12,0.006037610911849531
20,135.0,-9,0.08239317478109759
20,135.0,-6,1.8891309072508073
20,135.0,-3,75.20513223056685
20,135.0,0,861.6278733294162
20,135.0,3,2377.3864710257058
20,135.0,5,3413.2396005854043
20,180.0,-15,0.0015633005757636812
20,180.0,-12,0.006518346004876501
20,180.0,-9,0.07632235770403198
20,180.0,-6,1.9078272429570526
20,180.0,-3,72.21438566200342
20,180.0,0,982.0779347021044
20,180.0,3,2714.6013430274456
20,180.0,5,3822.0486448892393
0,0.0,-15,0.002494980937787588
0,0.0,-12,0.019031809377875873
0,0.0,-9,0.40798465284168617
0,0.0,-6,9.246904688937938
0,0.0,-3,201.302326420843
0,0.0,0,32616.348963126453
0,0.0,3,32616.348963126453
0,0.0,5,10872.116321042147
0,22.5,-15,0.0017361751217354802
0,22.5,-12,0.014144962849459014
0,22.5,-9,0.3097992569891803
0,22.5,-6,6.962639098308665
0,22.5,-3,155.0117448156323
0,22.5,0,1071.2958647463
0,22.5,3,3482.4407123647534
0,22.5,5,5716.269792625292
0,45.0,-15,0.0010849693056833724
0,45.0,-12,0.04604408403992037
0,45.0,-9,0.19020597745771664
0,45.0,-6,4.456446528416861
0,45.0,-3,110.98527953146368
0,45.0,0,663.3112119046136
0,45.0,3,1710.9568665511124
0,45.0,5,2443.4232642084307
0,90.0,-15,0.0006512058160521076
0,90.0,-12,0.0038601618755751757
0,90.0,-9,0.05651258160521076
0,90.0,-6,1.4111327953146369
0,90.0,-3,52.65688854837705
0,90.0,0,386.1283038785598
0,90.0,3,897.7904688937938
0,90.0,5,1251.9751217354801
0,135.0,-15,0.0005758858160521078
0,135.0,-12,0.00277295024347096
0,135.0,-9,0.03698761875575175
0,135.0,-6,0.9125850730412879
0,135.0,-3,34.70107917050117
0,135.0,0,385.567722273349
0,135.0,3,1141.0116321042156
0,135.0,5,1739.5386113667446
0,180.0,-15,0.0006198227466204448
0,180.0,-12,0.0028827925698918034
0,180.0,-9,0.03698761875575175
0,180.0,-6,0.9125850730412879
0,180.0,-3,23.941079170501165
0,180.0,0,434.66042019960196
0,180.0,3,1304.6539585250584
0,180.0,5,2011.9021009980097
